NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2015-01-01 00:00:00;1007.8;1016.8;4.6;3.2;8.1;1.9;7.3;101;13;73;31;31;31;31;31;31;;;;;0;10;9;2;0;;;;;;18;7;0;0;0;4;11.4;2015-01-09 00:00:00;-0.8;2015-01-23 00:00:00;15.5;2015-01-09 00:00:00;-2.9;2015-01-22 00:00:00;21.5;2015-01-29 00:00:00;28.3;2015-01-09 00:00:00;3;0;6;18
07015;2015-01-01 00:00:00;1010.3;1016.2;3.8;3.2;7.1;1.3;7.2;80;14;65;31;31;31;31;31;31;;;;;1;13;6;3;0;;1;0;;;20;4;0;0;0;5;10.7;2015-01-09 00:00:00;-1.3;2015-01-22 00:00:00;14.5;2015-01-09 00:00:00;-3.2;2015-01-24 00:00:00;14.1;2015-01-18 00:00:00;26;2015-01-10 00:00:00;0;0;6;18
07020;2015-01-01 00:00:00;1014.9;1017.5;8.4;2.1;9.9;6.3;8.7;107;17;;31;31;31;31;31;0;;;;;;;7;5;0;;;;;;30;15;1;;;;12.1;2015-01-09 00:00:00;3.3;2015-01-21 00:00:00;13;2015-01-03 00:00:00;1.2;2015-01-20 00:00:00;15.1;2015-01-08 00:00:00;40.6;2015-01-30 00:00:00;1;3;6;18
07027;2015-01-01 00:00:00;1009.8;1018.1;5.7;3;8.9;2.5;7.9;81;14;79;31;31;31;31;31;31;;;;;0;6;9;1;0;;1;1;;;23;8;0;0;0;1;12.4;2015-01-09 00:00:00;0.8;2015-01-22 00:00:00;15.2;2015-01-09 00:00:00;-3.2;2015-01-22 00:00:00;11.8;2015-01-29 00:00:00;26.8;2015-01-08 00:00:00;1;0;6;18
07037;2015-01-01 00:00:00;999.3;1018.1;4;3.4;7.1;1;7.3;103;16;45;31;31;31;31;31;31;;;;;0;12;6;5;0;;1;0;;;19;5;0;0;0;9;11;2015-01-09 00:00:00;-1.7;2015-01-23 00:00:00;14.6;2015-01-09 00:00:00;-4.3;2015-01-20 00:00:00;16.5;2015-01-30 00:00:00;28.5;2015-01-28 00:00:00;0;0;6;18
07072;2015-01-01 00:00:00;1006.6;1018.5;3.4;3.9;6.5;0.3;7;54;13;55;31;31;31;31;31;31;;;;;1;16;5;1;0;;;;;;14;1;0;0;2;8;11.8;2015-01-10 00:00:00;-2.8;2015-01-05 00:00:00;14.9;2015-01-09 00:00:00;-6.4;2015-01-06 00:00:00;10.1;2015-01-03 00:00:00;20.3;2015-01-14 00:00:00;0;;6;18
07110;2015-01-01 00:00:00;1007.5;1019.1;7.7;2.5;10.3;4.6;8.8;184;24;59;31;31;31;31;31;31;;;;;0;2;9;6;0;;;;;;25;9;0;;;;12.3;2015-01-09 00:00:00;3.5;2015-01-19 00:00:00;13.1;2015-01-09 00:00:00;-2.1;2015-01-17 00:00:00;31.8;2015-01-12 00:00:00;28.8;2015-01-15 00:00:00;2;4;6;18
07117;2015-01-01 00:00:00;1011.1;1018.2;8.2;2.2;10.4;5.9;8.7;123;19;;31;31;31;31;31;0;;;;;;;8;4;0;;;;;;28;12;0;;;;12.7;2015-01-09 00:00:00;4.1;2015-01-20 00:00:00;14.2;2015-01-09 00:00:00;1.8;2015-01-20 00:00:00;23;2015-01-12 00:00:00;29.4;2015-01-30 00:00:00;;;6;18
07130;2015-01-01 00:00:00;1015.1;1019.7;6.1;3.4;9.7;2.7;8.3;78;16;65;31;31;31;31;31;31;;;;;0;8;7;2;0;;;;;;16;1;0;1;1;8;13.1;2015-01-09 00:00:00;0.7;2015-01-23 00:00:00;15.2;2015-01-09 00:00:00;-4.2;2015-01-23 00:00:00;16;2015-01-18 00:00:00;23.3;2015-01-15 00:00:00;0;;6;18
07139;2015-01-01 00:00:00;1001.5;1019.4;4.5;3.4;7.7;1.6;7.4;65;12;64;31;31;31;31;31;31;;;;;0;10;5;1;0;;;;;;16;2;0;0;1;8;11.4;2015-01-09 00:00:00;-1.2;2015-01-20 00:00:00;13.9;2015-01-09 00:00:00;-4.6;2015-01-01 00:00:00;15.3;2015-01-18 00:00:00;23.2;2015-01-08 00:00:00;;;6;18
07149;2015-01-01 00:00:00;1007.8;1019;4.2;3.4;7.3;1.5;7.3;37;13;45;31;31;31;31;31;31;;;;;0;12;0;;;;1;0;;;16;3;0;1;1;6;11.6;2015-01-10 00:00:00;-0.4;2015-01-05 00:00:00;14.3;2015-01-09 00:00:00;-4.3;2015-01-05 00:00:00;4.8;2015-01-30 00:00:00;23.3;2015-01-29 00:00:00;0;0;6;18
07168;2015-01-01 00:00:00;1004.9;1019.6;3.8;3.6;6.8;0.6;7.1;61;14;44;31;31;31;31;31;31;;;;;0;14;6;;;;2;0;;;15;2;0;0;0;6;11.8;2015-01-10 00:00:00;-1.9;2015-01-05 00:00:00;13.8;2015-01-09 00:00:00;-6.5;2015-01-06 00:00:00;6.9;2015-01-10 00:00:00;22.9;2015-01-29 00:00:00;0;0;6;18
07181;2015-01-01 00:00:00;977.3;1019.5;2.1;3.4;4.5;-0.1;6.7;92;16;;31;31;31;31;31;0;;;;;1;17;8;3;0;;4;0;;;17;2;0;0;1;11;10.2;2015-01-10 00:00:00;-3.1;2015-01-05 00:00:00;11.9;2015-01-09 00:00:00;-6.9;2015-01-06 00:00:00;13.5;2015-01-13 00:00:00;20.2;2015-01-03 00:00:00;0;0;6;18
07190;2015-01-01 00:00:00;1000.6;1019.3;3.3;3.5;6.2;0.8;6.7;75;16;41;31;31;31;31;31;31;;;;;0;10;2;1;0;;;;;;15;1;0;0;1;10;13.1;2015-01-10 00:00:00;-2.4;2015-01-06 00:00:00;16.3;2015-01-10 00:00:00;-5.6;2015-01-01 00:00:00;24.9;2015-01-16 00:00:00;20;2015-01-09 00:00:00;0;;6;18
07207;2015-01-01 00:00:00;1015.2;1020.5;9.2;2.5;11.2;6.9;9.4;93;12;;31;31;31;31;31;0;;;;;;;7;2;0;;;;;;29;13;3;;;;12.7;2015-01-09 00:00:00;3.9;2015-01-22 00:00:00;13.5;2015-01-03 00:00:00;1.5;2015-01-23 00:00:00;20.8;2015-01-18 00:00:00;32.9;2015-01-15 00:00:00;0;0;6;18
07222;2015-01-01 00:00:00;1017.5;1020.8;6.4;3.6;9.8;3.1;8.6;107;16;74;31;31;31;31;31;31;;;;;0;8;6;3;0;;;;;;14;2;0;0;0;10;12.3;2015-01-09 00:00:00;0.1;2015-01-23 00:00:00;13.6;2015-01-03 00:00:00;-4.4;2015-01-01 00:00:00;25.4;2015-01-18 00:00:00;21.1;2015-01-15 00:00:00;0;0;6;18
07240;2015-01-01 00:00:00;1006.6;1020.5;5;3.3;8;2.4;7.9;39;10;62;31;31;31;31;31;31;;;;;1;9;1;1;0;;;;;;12;0;0;0;0;7;11.2;2015-01-10 00:00:00;-1.1;2015-01-23 00:00:00;13.4;2015-01-09 00:00:00;-4.3;2015-01-01 00:00:00;11.7;2015-01-29 00:00:00;19.4;2015-01-15 00:00:00;;;6;18
07255;2015-01-01 00:00:00;1000.5;1021.1;4.3;3.5;7.3;1.3;7.5;88;14;55;31;31;31;31;31;31;;;;;0;13;5;3;0;;;;;;12;1;0;0;0;9;11.6;2015-01-10 00:00:00;-0.1;2015-01-01 00:00:00;13.4;2015-01-09 00:00:00;-3.9;2015-01-01 00:00:00;17.7;2015-01-15 00:00:00;20;2015-01-29 00:00:00;0;0;6;18
07280;2015-01-01 00:00:00;993;1021.1;3.1;3.3;5.8;0.6;7;54;14;38;31;31;31;31;31;31;;;;;2;14;4;;;;;;;;13;1;0;0;0;11;12;2015-01-10 00:00:00;-2.1;2015-01-01 00:00:00;13.6;2015-01-10 00:00:00;-5.6;2015-01-18 00:00:00;9.9;2015-01-16 00:00:00;27.2;2015-01-30 00:00:00;0;;6;18
07299;2015-01-01 00:00:00;986.7;1020.4;3.1;3.3;6.3;0.4;6.6;67;14;46;31;31;31;31;31;31;;;;;0;13;5;1;0;;4;1;;;12;4;0;0;1;1;13.6;2015-01-10 00:00:00;-3;2015-01-01 00:00:00;16.5;2015-01-10 00:00:00;-6.6;2015-01-01 00:00:00;10.3;2015-01-16 00:00:00;23.6;2015-01-30 00:00:00;0;0;6;18
07314;2015-01-01 00:00:00;1019.1;1021.9;8.4;2.9;10.4;6.2;9.4;84;16;;31;31;31;31;31;0;;;;;0;1;5;2;0;;;;;;26;5;0;0;0;4;12.3;2015-01-09 00:00:00;2.8;2015-01-20 00:00:00;13.4;2015-01-15 00:00:00;-1.6;2015-01-24 00:00:00;18.5;2015-01-29 00:00:00;28.9;2015-01-29 00:00:00;0;0;6;18
07335;2015-01-01 00:00:00;1006.6;1021.4;4.9;3.4;8.3;1.9;7.9;50;10;67;31;31;31;31;31;31;;;;;0;11;4;2;0;;;;;;13;0;0;0;0;7;11.7;2015-01-10 00:00:00;-1.2;2015-01-23 00:00:00;13.5;2015-01-09 00:00:00;-5.6;2015-01-01 00:00:00;14.3;2015-01-29 00:00:00;18.4;2015-01-29 00:00:00;0;0;6;18
07434;2015-01-01 00:00:00;973;1022.2;3.7;2.9;6.4;1.4;7.2;99;13;64;31;31;31;31;31;31;;;;;1;13;6;2;0;;1;0;;;13;1;0;0;0;20;9.7;2015-01-10 00:00:00;-1.3;2015-01-24 00:00:00;11.1;2015-01-12 00:00:00;-4.4;2015-01-24 00:00:00;30.4;2015-01-29 00:00:00;20.2;2015-01-29 00:00:00;0;0;6;18
07460;2015-01-01 00:00:00;981.7;1021.5;4.8;3.7;8.7;1;6.5;21;6;91;31;31;31;31;31;31;;;;;0;12;1;;;;1;0;;;14;0;0;0;0;2;13.1;2015-01-10 00:00:00;-1.5;2015-01-01 00:00:00;18.8;2015-01-10 00:00:00;-5.7;2015-01-01 00:00:00;8.6;2015-01-29 00:00:00;19.8;2015-01-28 00:00:00;0;0;6;18
07471;2015-01-01 00:00:00;;;1.4;3.4;5.7;-2.3;5.6;23;6;101;0;31;31;31;31;31;;;;;1;24;2;;;;;;;;16;0;0;0;0;5;9.3;2015-01-10 00:00:00;-5.4;2015-01-01 00:00:00;15.1;2015-01-10 00:00:00;-10.3;2015-01-01 00:00:00;6.8;2015-01-29 00:00:00;17.7;2015-01-24 00:00:00;0;;6;18
07481;2015-01-01 00:00:00;992.3;1021.9;4;3.4;7.3;1.2;6.6;94;10;;31;31;31;31;31;0;;;;;0;8;5;3;0;;1;0;;;13;2;0;0;0;8;11.7;2015-01-10 00:00:00;-1.6;2015-01-06 00:00:00;20.4;2015-01-10 00:00:00;-4.6;2015-01-02 00:00:00;45.6;2015-01-16 00:00:00;23.6;2015-01-13 00:00:00;1;0;6;18
07510;2015-01-01 00:00:00;1017.1;1023;6.3;3.6;10.3;3.1;8.6;94;15;75;31;31;31;31;31;31;;;;;0;9;5;2;0;;;;;;13;1;0;0;1;13;12.2;2015-01-10 00:00:00;-0.7;2015-01-01 00:00:00;15.8;2015-01-13 00:00:00;-5.6;2015-01-01 00:00:00;29.1;2015-01-29 00:00:00;24.9;2015-01-29 00:00:00;0;;6;18
