NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2007-08-01 00:00:00;1006.8;1015.9;16.4;3.5;20.9;12.5;15.3;80;11;168;31;31;31;31;31;31;2;1;;;;;6;2;0;;;;;;24;0;0;0;1;3;23.2;2007-08-05 00:00:00;13.8;2007-08-29 00:00:00;31;2007-08-05 00:00:00;8;2007-08-30 00:00:00;24.4;2007-08-19 00:00:00;19;2007-08-14 00:00:00;;;6;18
07015;2007-08-01 00:00:00;1009.8;1015.3;17.3;3.6;21.7;13.3;14.9;48;9;154;30;31;31;31;31;31;3;1;;;;;4;1;0;;;;;;21;1;0;0;0;3;23.6;2007-08-05 00:00:00;14.5;2007-08-29 00:00:00;31.5;2007-08-05 00:00:00;8.7;2007-08-30 00:00:00;15.8;2007-08-21 00:00:00;21;2007-08-14 00:00:00;1;0;6;18
07020;2007-08-01 00:00:00;1016;1016.8;16.9;1.6;19.1;14.7;16.2;67;6;;30;30;31;30;31;0;1;0;;;;;4;3;0;;;;;;24;3;0;;;;19.9;2007-08-05 00:00:00;15.4;2007-08-20 00:00:00;25.5;2007-08-05 00:00:00;11.5;2007-08-11 00:00:00;22.4;2007-08-13 00:00:00;24;2007-08-14 00:00:00;;;6;18
07027;2007-08-01 00:00:00;1008.6;1016.5;16.6;3.4;21;12.6;15;49;10;194;31;31;31;31;31;31;2;1;;;;;2;1;0;;;;;;24;2;0;0;2;4;21.7;2007-08-05 00:00:00;14.4;2007-08-17 00:00:00;30.5;2007-08-05 00:00:00;8.8;2007-08-01 00:00:00;18.2;2007-08-20 00:00:00;23;2007-08-14 00:00:00;3;0;6;18
07037;2007-08-01 00:00:00;998.2;1016.1;16.4;3.5;21.1;12.4;14.8;72;12;160;31;31;31;31;31;31;3;1;;;;;4;2;0;;;;;;20;0;0;0;1;2;22.9;2007-08-05 00:00:00;14.1;2007-08-16 00:00:00;30.6;2007-08-05 00:00:00;7.8;2007-08-30 00:00:00;19.4;2007-08-19 00:00:00;17;2007-08-14 00:00:00;1;0;6;18
07110;2007-08-01 00:00:00;1006.4;1017.6;16.1;2.9;20.1;12.4;14.9;95;8;203;31;31;31;31;31;31;1;0;;;;;4;4;0;;;;;;15;0;0;0;0;4;18.4;2007-08-05 00:00:00;14.6;2007-08-19 00:00:00;25.2;2007-08-04 00:00:00;7.9;2007-08-11 00:00:00;32.2;2007-08-13 00:00:00;19;2007-08-14 00:00:00;;;6;18
07117;2007-08-01 00:00:00;1010.5;1017.4;16.6;1.8;19.4;14.4;15.8;47;9;;31;31;31;31;31;0;;;;;;;2;1;0;;;;;;20;2;0;;;;19;2007-08-05 00:00:00;14.9;2007-08-19 00:00:00;24.6;2007-08-05 00:00:00;12.1;2007-08-07 00:00:00;21.8;2007-08-20 00:00:00;25;2007-08-20 00:00:00;;;6;18
07130;2007-08-01 00:00:00;1011.8;1016.9;17;3.9;22;12.3;15.2;56;8;191;31;31;31;31;31;31;4;1;;;;;4;1;0;;;;;;21;0;0;0;1;7;22.5;2007-08-05 00:00:00;13.8;2007-08-20 00:00:00;30.9;2007-08-05 00:00:00;8.5;2007-08-09 00:00:00;22;2007-08-20 00:00:00;19;2007-08-14 00:00:00;2;0;6;18
07139;2007-08-01 00:00:00;999.3;1016.3;16.5;3.7;21.2;12.2;14.9;109;13;181;31;31;31;31;31;31;4;0;;;;;4;2;1;;;;;;20;0;0;0;0;3;22.1;2007-08-05 00:00:00;13.4;2007-08-20 00:00:00;29.3;2007-08-05 00:00:00;8.1;2007-08-30 00:00:00;51.2;2007-08-07 00:00:00;16;2007-08-14 00:00:00;2;0;6;18
07149;2007-08-01 00:00:00;1005.2;1015.8;17.6;3.7;22.4;13.2;14.8;139;13;;31;31;31;31;31;0;6;1;;;;;8;3;0;;;;;;20;0;0;0;0;1;24.5;2007-08-05 00:00:00;14.7;2007-08-20 00:00:00;32.7;2007-08-05 00:00:00;9.4;2007-08-30 00:00:00;36.8;2007-08-22 00:00:00;17;2007-08-09 00:00:00;3;0;6;18
07168;2007-08-01 00:00:00;1001.9;1015.7;17.7;4.3;22.9;12.5;15.3;98;10;171;31;31;31;31;31;31;8;1;;;;;7;4;0;;;;;;17;0;0;0;0;6;22.9;2007-08-05 00:00:00;13.2;2007-08-09 00:00:00;33.5;2007-08-05 00:00:00;7.1;2007-08-01 00:00:00;24.4;2007-08-22 00:00:00;16;2007-08-02 00:00:00;3;0;6;18
07181;2007-08-01 00:00:00;975.5;1016.2;16.7;4.1;21.5;12.5;14.8;143;15;;31;31;31;31;31;0;7;0;;;;;10;3;0;;;;;;15;0;0;0;0;6;22;2007-08-05 00:00:00;12;2007-08-09 00:00:00;29.2;2007-08-05 00:00:00;7.7;2007-08-30 00:00:00;40.6;2007-08-09 00:00:00;18.7;2007-08-02 00:00:00;3;0;6;18
07190;2007-08-01 00:00:00;997.2;1015.2;18.5;4.4;24.1;13.5;15.5;90;15;197;31;31;31;31;31;31;11;3;;;;;4;4;0;;;;;;9;1;0;0;0;3;25.2;2007-08-15 00:00:00;14.4;2007-08-09 00:00:00;31.8;2007-08-06 00:00:00;8.7;2007-08-01 00:00:00;24.6;2007-08-06 00:00:00;25;2007-08-06 00:00:00;2;0;6;18
07207;2007-08-01 00:00:00;1012.4;1017.5;17.7;2.3;21;14.9;16;25;6;;31;31;31;31;31;0;2;0;;;;;2;;;;;;;;26;4;0;;;;20.6;2007-08-05 00:00:00;15.6;2007-08-21 00:00:00;26.3;2007-08-26 00:00:00;11.1;2007-08-10 00:00:00;9.2;2007-08-14 00:00:00;23;2007-08-14 00:00:00;;;6;18
07222;2007-08-01 00:00:00;1013.6;1016.7;17.6;3.7;22.4;13.1;15.7;74;9;204;31;31;31;31;31;31;7;1;;;;;2;2;0;;;;;;19;0;0;;;;22.5;2007-08-05 00:00:00;14.5;2007-08-20 00:00:00;30.5;2007-08-05 00:00:00;9.5;2007-08-09 00:00:00;39.6;2007-08-20 00:00:00;16;2007-08-14 00:00:00;5;0;6;18
07240;2007-08-01 00:00:00;1003;1016.1;17.6;4.1;22.8;13;14.7;68;10;176;30;31;31;31;31;31;6;1;;;;;6;1;0;;;;;;19;0;0;1;1;1;24.7;2007-08-05 00:00:00;14.3;2007-08-20 00:00:00;33.6;2007-08-05 00:00:00;8.8;2007-08-30 00:00:00;22;2007-08-20 00:00:00;17;2007-08-20 00:00:00;;;6;18
07255;2007-08-01 00:00:00;996.6;1016;18.1;4.3;23;13.5;15.5;93;12;172;30;31;31;31;31;31;9;1;;;;;6;2;0;;;;;;17;0;0;0;0;3;24.8;2007-08-05 00:00:00;14.3;2007-08-08 00:00:00;33.3;2007-08-05 00:00:00;8.7;2007-08-18 00:00:00;33.6;2007-08-20 00:00:00;18;2007-08-15 00:00:00;4;0;6;18
07280;2007-08-01 00:00:00;989;1015.5;18.2;4.4;23.4;13.5;15.8;105;13;205;31;31;31;31;31;31;11;2;;;;;8;5;0;;;;;;16;1;0;0;0;2;23.2;2007-08-15 00:00:00;13.2;2007-08-09 00:00:00;30.9;2007-08-15 00:00:00;9;2007-08-18 00:00:00;17.6;2007-08-06 00:00:00;26;2007-08-01 00:00:00;5;0;6;18
07299;2007-08-01 00:00:00;983.6;1015.3;17.9;4.8;23.6;12.8;16.1;135;14;196;31;31;31;31;31;31;14;3;;;;;6;4;1;;;;;;10;0;0;0;0;1;25.5;2007-08-15 00:00:00;13.3;2007-08-09 00:00:00;32.8;2007-08-15 00:00:00;6.4;2007-08-01 00:00:00;58.6;2007-08-08 00:00:00;18;2007-08-16 00:00:00;5;0;6;18
07314;2007-08-01 00:00:00;1014.1;1016.8;19.4;2.1;21.5;17.3;17.7;43;7;;31;31;31;31;31;0;3;0;;;;;3;1;0;;;;;;23;1;0;;;;22.9;2007-08-04 00:00:00;17.1;2007-08-21 00:00:00;27.9;2007-08-04 00:00:00;14.1;2007-08-18 00:00:00;15;2007-08-20 00:00:00;21;2007-08-20 00:00:00;;;6;18
07335;2007-08-01 00:00:00;1002.2;1016.3;17.7;4.5;23.2;12.4;15.5;67;6;202;31;31;31;31;31;31;8;1;;;;;4;2;0;;;;;;19;0;0;1;1;1;24;2007-08-05 00:00:00;13.8;2007-08-20 00:00:00;33.3;2007-08-05 00:00:00;6.7;2007-08-18 00:00:00;25.2;2007-08-20 00:00:00;17;2007-08-14 00:00:00;;;6;18
07434;2007-08-01 00:00:00;969.4;1015.9;17.1;4.5;21.8;13.1;15.5;126;10;195;31;31;31;31;31;31;8;1;;;;;6;4;0;;;;;;15;1;0;0;0;7;24.4;2007-08-05 00:00:00;12.3;2007-08-20 00:00:00;31.1;2007-08-05 00:00:00;8.8;2007-08-30 00:00:00;38.6;2007-08-20 00:00:00;22;2007-08-29 00:00:00;4;0;6;18
07460;2007-08-01 00:00:00;977.5;1015.7;18.1;4.9;23.5;13.2;15.1;132;13;173;31;31;31;31;31;31;11;3;;;;;8;5;0;;;;;;17;0;0;;;;24.6;2007-08-05 00:00:00;13.6;2007-08-21 00:00:00;33.4;2007-08-01 00:00:00;7.6;2007-08-31 00:00:00;35;2007-08-06 00:00:00;17;2007-08-01 00:00:00;5;0;6;18
07471;2007-08-01 00:00:00;921.6;;15.3;5.2;21.4;10;13.7;96;9;189;31;31;31;31;31;31;8;2;;;;;4;2;0;;;;;;16;0;0;0;1;3;20.8;2007-08-27 00:00:00;10.8;2007-08-09 00:00:00;32.2;2007-08-05 00:00:00;3.9;2007-08-01 00:00:00;43;2007-08-29 00:00:00;15;2007-08-08 00:00:00;5;1;6;18
07481;2007-08-01 00:00:00;987.6;1015.4;19.5;4.5;24.2;15.2;16;89;13;211;31;31;31;31;31;31;13;3;;;;;4;2;0;;;;;;17;1;0;;;;26;2007-08-15 00:00:00;13.9;2007-08-09 00:00:00;32.6;2007-08-05 00:00:00;11.1;2007-08-31 00:00:00;25.6;2007-08-29 00:00:00;20;2007-08-15 00:00:00;7;0;6;18
