NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1994-01-01 00:00:00;1002.9;1012.6;;2.8;;;8.2;70;16;50;18;31;22;31;31;31;;;;;;;3;1;0;;;;;;26;11;1;;;;10.1;1994-01-12 00:00:00;1.5;1994-01-17 00:00:00;;;;;;;;;;;;
07015;1994-01-01 00:00:00;;;5.7;;;;;64;17;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07027;1994-01-01 00:00:00;1005.5;1013.9;7;;;;8.5;76;17;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07110;1994-01-01 00:00:00;1003;1015.1;7.9;;;;9.4;163;25;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1994-01-01 00:00:00;1004.9;1016;5.8;3.4;8.2;3.9;8.3;68;14;;31;31;31;31;31;0;;;;;1;2;7;1;0;;;;;;23;7;1;0;0;3;11.1;1994-01-25 00:00:00;-0.6;1994-01-19 00:00:00;13.1;1994-01-12 00:00:00;-2.5;1994-01-19 00:00:00;10.8;1994-01-01 00:00:00;30;1994-01-27 00:00:00;;;6;18
07190;1994-01-01 00:00:00;998.2;1017;3.8;4;6.7;1.3;7;39;15;54;26;31;31;31;31;31;;;;;1;7;1;;;;2;0;;;18;2;0;0;0;6;10.3;1994-01-13 00:00:00;-3.6;1994-01-20 00:00:00;13.8;;;;5.6;1994-01-02 00:00:00;29;1994-01-28 00:00:00;1;1;6;18
07207;1994-01-01 00:00:00;1010.4;1017;9.1;2;10.7;7.5;11;97;16;60;0;31;31;31;31;31;;;;;;;7;3;0;;;;;;28;17;2;0;0;3;11.9;1994-01-12 00:00:00;4.2;1994-01-17 00:00:00;13.3;1994-01-12 00:00:00;1.4;1994-01-18 00:00:00;14.9;1994-01-09 00:00:00;34;1994-01-05 00:00:00;1;0;6;18
07222;1994-01-01 00:00:00;1014;1017.1;7.1;;;;9.3;134;16;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07240;1994-01-01 00:00:00;1004;1017.7;5.8;3.8;8.5;3.6;8.4;99;18;55;31;31;31;31;31;31;;;;;1;7;5;2;0;;;;;;20;5;0;0;0;7;11.1;1994-01-12 00:00:00;-2.7;1994-01-19 00:00:00;13.6;1994-01-12 00:00:00;-5.4;1994-01-19 00:00:00;25.4;1994-01-05 00:00:00;22;1994-01-28 00:00:00;0;1;6;18
07255;1994-01-01 00:00:00;998;1018.3;5.2;3.9;7.9;3;7.9;74;17;43;27;31;31;31;31;31;;;;;2;5;5;1;0;;;;;;18;4;0;0;0;9;10.2;1994-01-12 00:00:00;-3.2;1994-01-18 00:00:00;13.2;;;;11.5;1994-01-10 00:00:00;22;1994-01-05 00:00:00;;;6;18
07280;1994-01-01 00:00:00;990.9;1018.8;3.5;3.9;6.4;1.2;7;123;16;54;29;31;31;31;31;31;;;;;1;10;6;4;0;;;;;;15;4;0;0;1;5;10.4;1994-01-25 00:00:00;-5.3;1994-01-19 00:00:00;12.7;;;;36.2;1994-01-06 00:00:00;22;1994-01-28 00:00:00;;;6;18
