NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2002-07-01 00:00:00;1006.8;1015.9;16.3;3.7;20.7;12.6;15.3;77;12;182;29;31;31;31;31;31;3;1;;;;;5;3;0;;;;;;21;0;0;0;1;4;23.3;2002-07-28 00:00:00;13.3;2002-07-02 00:00:00;31.6;2002-07-28 00:00:00;9.1;2002-07-14 00:00:00;17;2002-07-12 00:00:00;18;2002-07-03 00:00:00;2;0;6;18
07015;2002-07-01 00:00:00;1009.7;1015.3;17.5;4.2;21.8;13.7;15.4;90;9;173;27;31;31;31;31;31;5;3;;;;;6;5;0;;;;;;21;0;0;;;;26.2;2002-07-29 00:00:00;13.5;2002-07-01 00:00:00;32.5;2002-07-29 00:00:00;10.3;2002-07-20 00:00:00;18.2;2002-07-01 00:00:00;17;2002-07-03 00:00:00;1;0;6;18
07020;2002-07-01 00:00:00;1014.6;1016.3;16.1;1.7;18.6;14.3;16.2;75;7;;30;31;31;31;31;0;;;;;;;4;2;0;;;;;;18;2;0;0;0;2;17.9;2002-07-27 00:00:00;13.8;2002-07-02 00:00:00;22.2;2002-07-15 00:00:00;12.1;2002-07-03 00:00:00;29.4;2002-07-08 00:00:00;25;2002-07-02 00:00:00;;;6;18
07027;2002-07-01 00:00:00;1008.7;1016.6;16.7;3.4;21.4;12.6;15;46;10;211;25;31;31;31;31;31;4;0;;;;;3;1;0;;;;;;22;0;0;0;0;4;20.2;2002-07-27 00:00:00;14;2002-07-02 00:00:00;27.5;2002-07-27 00:00:00;9.5;2002-07-22 00:00:00;11.4;2002-07-02 00:00:00;19;2002-07-03 00:00:00;;;6;18
07037;2002-07-01 00:00:00;998.5;1016.3;16.7;4.1;21.8;12.3;15.3;84;10;196;22;31;31;31;31;31;4;2;;;;;7;2;0;;;;;;16;0;0;0;0;1;24.1;2002-07-28 00:00:00;12.5;2002-07-05 00:00:00;32.9;2002-07-28 00:00:00;8.8;2002-07-11 00:00:00;22.2;2002-07-12 00:00:00;19;2002-07-02 00:00:00;1;0;6;18
07110;2002-07-01 00:00:00;1006.4;1017.7;15.5;2.6;19.1;12.6;15.5;84;12;136;27;31;31;31;31;31;1;0;;;;;5;3;0;;;;;;16;0;0;0;0;14;19.4;2002-07-19 00:00:00;13.5;2002-07-10 00:00:00;27.1;2002-07-19 00:00:00;8.2;2002-07-13 00:00:00;22.4;2002-07-08 00:00:00;19;2002-07-02 00:00:00;;;6;18
07117;2002-07-01 00:00:00;1010.2;1017.3;15.8;2.1;19;13.6;15.7;54;12;;1;31;31;31;31;0;;;;;;;4;1;0;;;;;;18;1;0;1;3;4;18.6;2002-07-19 00:00:00;13.8;2002-07-02 00:00:00;22.8;2002-07-27 00:00:00;11.1;2002-07-10 00:00:00;10.8;2002-07-08 00:00:00;22;2002-07-03 00:00:00;;;6;18
07130;2002-07-01 00:00:00;1012.2;1017.2;18;4.1;23.4;13.4;14.9;37;11;209;26;31;31;31;31;31;11;1;;;;;4;;;;;;;;20;0;0;0;0;4;22.8;2002-07-19 00:00:00;15.3;2002-07-04 00:00:00;30;2002-07-27 00:00:00;10.1;2002-07-22 00:00:00;8.8;2002-07-31 00:00:00;18;2002-07-02 00:00:00;3;0;6;18
07139;2002-07-01 00:00:00;999.3;1016.4;17.3;4.6;22.7;11.9;14;47;7;225;25;31;31;31;31;31;9;3;;;;;4;1;0;;;;;;19;0;0;0;0;3;23.1;2002-07-28 00:00:00;13.1;2002-07-05 00:00:00;32.1;2002-07-28 00:00:00;6.5;2002-07-11 00:00:00;12.4;2002-07-05 00:00:00;18;2002-07-03 00:00:00;1;0;6;18
07149;2002-07-01 00:00:00;1005.5;1016;19;4.9;24.6;13.9;15.1;38;8;;12;31;31;31;31;0;14;3;2;0;;;3;;;;;;;;26;1;0;;;;27.8;2002-07-28 00:00:00;14;2002-07-05 00:00:00;35.5;2002-07-29 00:00:00;8.9;2002-07-11 00:00:00;9;2002-07-03 00:00:00;20;2002-07-03 00:00:00;1;0;6;18
