NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2008-08-01 00:00:00;1004.5;1013.3;17;1.7;21.2;13.8;16.1;114;12;127;31;31;31;31;31;31;4;0;;;;;7;2;0;;;;;;25;1;0;;;;22.6;2008-08-06 00:00:00;14.2;2008-08-23 00:00:00;29.8;2008-08-06 00:00:00;8.9;2008-08-15 00:00:00;36.6;2008-08-03 00:00:00;21;2008-08-13 00:00:00;4;0;6;18
07015;2008-08-01 00:00:00;1007.3;1012.8;17.6;1.7;21.9;13.9;15.2;107;12;128;31;31;31;31;31;31;3;0;;;;;6;3;0;;;;;;25;1;0;0;0;1;22.8;2008-08-06 00:00:00;14.5;2008-08-23 00:00:00;29.5;2008-08-06 00:00:00;8.9;2008-08-15 00:00:00;30.8;2008-08-07 00:00:00;21;2008-08-13 00:00:00;5;0;6;18
07020;2008-08-01 00:00:00;1012;1012.8;17.1;0.5;19.2;15.4;15.4;67;14;;31;31;31;31;31;0;;;;;;;3;1;0;;;;;;26;4;0;;;;18.6;2008-08-05 00:00:00;16.2;2008-08-15 00:00:00;22.5;2008-08-05 00:00:00;13.4;2008-08-16 00:00:00;25.6;2008-08-03 00:00:00;25;2008-08-13 00:00:00;0;0;6;18
07027;2008-08-01 00:00:00;1005.7;1013.6;17.2;1.4;22.3;13.4;15.2;55;11;149;31;31;31;31;31;31;3;0;;;;;3;1;0;;;;;;22;2;0;0;0;1;20.4;2008-08-06 00:00:00;14.7;2008-08-14 00:00:00;29.2;2008-08-30 00:00:00;8.9;2008-08-15 00:00:00;17.6;2008-08-03 00:00:00;20.5;2008-08-12 00:00:00;2;0;6;18
07037;2008-08-01 00:00:00;996;1013.8;16.9;1.8;21.8;13.1;15;97;16;126;31;31;31;31;31;31;4;0;;;;;4;2;0;;;;;;18;0;0;0;2;5;22.3;2008-08-06 00:00:00;13.8;2008-08-23 00:00:00;29.9;2008-08-06 00:00:00;9;2008-08-25 00:00:00;36;2008-08-03 00:00:00;19.1;2008-08-13 00:00:00;3;0;6;18
07110;2008-08-01 00:00:00;1002.6;1013.8;16.1;1;19.3;13.5;16.1;149;17;98;31;31;31;31;31;31;1;0;;;;;10;3;0;;;;;;24;2;0;0;0;5;18.2;2008-08-05 00:00:00;14;2008-08-15 00:00:00;25.7;2008-08-30 00:00:00;7.8;2008-08-15 00:00:00;46.2;2008-08-30 00:00:00;22;2008-08-12 00:00:00;2;0;6;18
07117;2008-08-01 00:00:00;1006.5;1013.3;16.7;1.1;19.9;14.4;16;82;14;;31;31;31;31;31;0;;;;;;;3;2;0;;;;;;27;3;0;0;0;1;19.6;2008-08-05 00:00:00;14.9;2008-08-14 00:00:00;24.4;2008-08-05 00:00:00;12.1;2008-08-15 00:00:00;26.8;2008-08-03 00:00:00;22;2008-08-13 00:00:00;;;6;18
07130;2008-08-01 00:00:00;1009.4;1014.5;17.5;1.6;22.4;13.9;15.3;52;11;153;31;31;31;31;31;31;3;0;;;;;3;1;0;;;;;;21;0;0;0;0;2;21.4;2008-08-30 00:00:00;14.2;2008-08-14 00:00:00;29.3;2008-08-30 00:00:00;8.4;2008-08-15 00:00:00;19.2;2008-08-14 00:00:00;18.4;2008-08-13 00:00:00;1;0;6;18
07139;2008-08-01 00:00:00;997.4;1014.3;17.1;1.9;22.2;13.1;15.4;54;11;156;31;31;31;31;31;31;3;1;;;;;3;1;0;;;;;;18;1;0;0;0;1;22.3;2008-08-06 00:00:00;13.5;2008-08-24 00:00:00;31;2008-08-06 00:00:00;7.3;2008-08-15 00:00:00;15.6;2008-08-21 00:00:00;21;2008-08-12 00:00:00;1;0;6;18
07149;2008-08-01 00:00:00;1003.6;1014.2;18.9;2;23.9;14.5;15.4;82;9;;31;31;31;31;31;0;9;1;;;;;4;2;0;;;;;;19;0;0;;;;24.7;2008-08-06 00:00:00;15.1;2008-08-24 00:00:00;32.5;2008-08-06 00:00:00;10.7;2008-08-24 00:00:00;32;2008-08-06 00:00:00;18;2008-08-12 00:00:00;1;0;6;18
