NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2009-03-01 00:00:00;1007;1016.5;6.7;1.5;10.7;3.2;7.9;39;11;176;31;31;31;31;31;31;;;;;0;4;2;;;;;;;;22;9;0;0;0;1;9;2009-03-12 00:00:00;3.1;2009-03-05 00:00:00;15.5;2009-03-17 00:00:00;-0.9;2009-03-05 00:00:00;9.6;2009-03-27 00:00:00;26;2009-03-08 00:00:00;1;1;6;18
07015;2009-03-01 00:00:00;1009.9;1015.7;7;1.4;11.3;3;7.7;54;11;164;31;31;31;31;31;31;;;;;0;2;4;1;0;;;;;;19;3;0;0;0;4;9.2;2009-03-17 00:00:00;3.5;2009-03-05 00:00:00;15.7;2009-03-17 00:00:00;-1.5;2009-03-21 00:00:00;12.8;2009-03-24 00:00:00;24.8;2009-03-23 00:00:00;1;0;6;18
07020;2009-03-01 00:00:00;1016.6;1017.4;8.3;1.1;10.5;5.9;9.2;66;8;;31;31;31;31;31;0;;;;;;;5;2;0;;;;;;24;3;0;;;;10.6;2009-03-13 00:00:00;5.5;2009-03-05 00:00:00;13.4;2009-03-13 00:00:00;1.7;2009-03-30 00:00:00;22.6;2009-03-04 00:00:00;29;2009-03-08 00:00:00;;;6;18
07027;2009-03-01 00:00:00;1009.3;1017.5;7.3;1.6;11.7;3.1;8.3;38;8;189;31;31;31;31;31;31;;;;;0;3;2;1;0;;;;;;13;3;0;0;0;3;9.9;2009-03-13 00:00:00;3.8;2009-03-05 00:00:00;16.1;2009-03-16 00:00:00;-1.9;2009-03-21 00:00:00;10.6;2009-03-03 00:00:00;21;2009-03-08 00:00:00;0;0;6;18
07037;2009-03-01 00:00:00;998.6;1013;6.3;1.8;11.5;2.5;7.5;45;10;152;21;21;31;21;31;31;;;;;0;5;4;1;0;;;;;;17;2;0;0;1;5;8.8;2009-03-12 00:00:00;1.6;2009-03-05 00:00:00;16.6;2009-03-17 00:00:00;-2;2009-03-21 00:00:00;12.6;2009-03-27 00:00:00;26.4;2009-03-08 00:00:00;0;0;6;18
07110;2009-03-01 00:00:00;1006.9;1018.6;8.2;1.8;12.7;4.2;8.8;57;9;185;31;31;31;31;31;31;;;;;0;1;2;1;0;;;;;;19;2;0;0;0;6;11.3;2009-03-17 00:00:00;4.8;2009-03-04 00:00:00;20.7;2009-03-17 00:00:00;-0.8;2009-03-06 00:00:00;27;2009-03-03 00:00:00;26.7;2009-03-05 00:00:00;0;1;6;18
07117;2009-03-01 00:00:00;1011;1018.1;8.5;1.3;11.7;6.3;9.2;58;8;;31;31;31;31;31;0;;;;;;;5;2;0;;;;;;22;4;0;2;2;2;11.2;2009-03-13 00:00:00;5.2;2009-03-04 00:00:00;17.4;2009-03-13 00:00:00;3;2009-03-05 00:00:00;18.8;2009-03-03 00:00:00;28;2009-03-08 00:00:00;;;6;18
07130;2009-03-01 00:00:00;1012.9;1018.2;8.1;2;13.9;2.7;8;31;4;194;31;31;31;31;31;31;;;;;0;5;1;1;0;;;;;;15;1;0;0;0;10;11.5;2009-03-18 00:00:00;4.1;2009-03-05 00:00:00;19.4;2009-03-18 00:00:00;-1.5;2009-03-31 00:00:00;22;2009-03-03 00:00:00;20.2;2009-03-08 00:00:00;0;0;6;18
07139;2009-03-01 00:00:00;1000.1;1017.7;6.9;1.8;12.1;1.9;7.6;37;8;177;31;31;31;31;31;31;;;;;0;8;2;1;0;;;;;;18;2;0;0;0;2;10;2009-03-12 00:00:00;3;2009-03-05 00:00:00;17.6;2009-03-18 00:00:00;-3.5;2009-03-21 00:00:00;15.2;2009-03-03 00:00:00;21;2009-03-08 00:00:00;0;1;6;18
07149;2009-03-01 00:00:00;1006.2;1017.3;7.3;2;12.2;2.8;7.2;29;9;169;31;31;31;31;31;31;;;;;0;5;1;;;;;;;;22;1;0;0;0;1;10.7;2009-03-18 00:00:00;1.8;2009-03-05 00:00:00;16.9;2009-03-18 00:00:00;-2;2009-03-21 00:00:00;8.8;2009-03-04 00:00:00;20;2009-03-04 00:00:00;0;0;6;18
07168;2009-03-01 00:00:00;1002.8;1017.3;6.3;2.1;11.8;1;7.2;32;8;149;31;31;31;31;31;31;;;;;0;14;1;;;;;;;;19;1;0;0;0;2;8.9;2009-03-01 00:00:00;1.7;2009-03-05 00:00:00;16.8;2009-03-18 00:00:00;-5;2009-03-21 00:00:00;8.2;2009-03-10 00:00:00;23;2009-03-08 00:00:00;0;0;6;18
07181;2009-03-01 00:00:00;975.2;1016.8;5.2;2;9.5;1.3;6.7;66;11;;31;31;31;31;31;0;;;;;;;;;;;3;0;;;22;0;0;0;0;2;8.8;2009-03-14 00:00:00;2.2;2009-03-06 00:00:00;15.7;2009-03-14 00:00:00;-5.6;2009-03-21 00:00:00;11;2009-03-05 00:00:00;19;2009-03-25 00:00:00;0;0;6;18
07190;2009-03-01 00:00:00;997.6;1016.5;6.2;1.8;10.5;2.2;7;65;11;115;31;31;31;31;31;31;;;;;0;7;5;2;0;;;;;;18;1;0;0;0;4;9.6;2009-03-15 00:00:00;2.4;2009-03-21 00:00:00;15.4;2009-03-01 00:00:00;-3;2009-03-21 00:00:00;18;2009-03-05 00:00:00;21;2009-03-09 00:00:00;0;0;6;18
07207;2009-03-01 00:00:00;1014.1;1019.9;9.3;1.5;12.3;6.4;9.5;34;5;;29;29;31;29;31;0;;;;;;;1;1;0;;;;;;24;6;0;0;0;3;12.4;2009-03-18 00:00:00;6.1;2009-03-05 00:00:00;17.6;2009-03-19 00:00:00;3.5;2009-03-05 00:00:00;20.8;2009-03-03 00:00:00;27;2009-03-03 00:00:00;0;0;6;18
07222;2009-03-01 00:00:00;1015.2;1018.4;8.5;2;14;3.3;8.3;36;7;202;31;31;31;31;31;31;;;;;0;6;1;1;0;;;;;;17;1;0;0;0;6;12.9;2009-03-18 00:00:00;4.8;2009-03-05 00:00:00;19.1;2009-03-17 00:00:00;-1;2009-03-22 00:00:00;18.8;2009-03-03 00:00:00;20.5;2009-03-04 00:00:00;0;0;6;18
07240;2009-03-01 00:00:00;1004.3;1018;7.7;2;12.5;3.2;7.5;26;7;198;31;31;31;31;31;31;;;;;0;5;3;;;;;;;;19;0;0;0;1;3;11;2009-03-18 00:00:00;2.8;2009-03-05 00:00:00;18.3;2009-03-18 00:00:00;-1;2009-03-22 00:00:00;5.8;2009-03-04 00:00:00;18.9;2009-03-04 00:00:00;0;0;6;18
