NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1992-07-01 00:00:00;1007.8;1016.7;16.8;3.5;21.2;13.2;16.8;61;8;230;0;1;31;1;31;31;;0;;;;;6;2;0;;;;;;23;2;0;0;1;1;22.9;1992-07-20 00:00:00;14.6;1992-07-08 00:00:00;29.7;1992-07-20 00:00:00;7.6;1992-07-08 00:00:00;14.6;1992-07-17 00:00:00;25;1992-07-20 00:00:00;1;0;6;18
07015;1992-07-01 00:00:00;;;18.6;;;;;77;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07020;1992-07-01 00:00:00;1016.3;1016.9;16.7;1.7;18.8;14.3;16.8;86;7;;7;15;31;15;31;0;;;;;;;4;2;0;;;;;;12;0;0;;;;19.4;1992-07-23 00:00:00;14.4;1992-07-05 00:00:00;23.8;1992-07-23 00:00:00;12;1992-07-05 00:00:00;46.9;1992-07-20 00:00:00;13;1992-07-03 00:00:00;1;0;6;18
07027;1992-07-01 00:00:00;1009.9;1017.8;17.2;3.6;22;12.9;15.8;68;8;210;0;0;31;0;31;31;;0;;;;;6;2;0;;;;;;18;1;0;0;0;3;21.8;1992-07-20 00:00:00;14;1992-07-05 00:00:00;28.7;;;;15.4;1992-07-20 00:00:00;21;1992-07-20 00:00:00;2;0;6;18
07037;1992-07-01 00:00:00;998.7;1017.1;17.3;4;22.5;12.7;17.1;69;9;212;29;29;31;29;31;31;8;0;;;;;5;3;0;;;;;;17;0;0;0;0;2;22.8;1992-07-20 00:00:00;14.4;1992-07-05 00:00:00;28.6;1992-07-30 00:00:00;8;1992-07-08 00:00:00;15;1992-07-20 00:00:00;19;1992-07-20 00:00:00;2;0;6;18
07110;1992-07-01 00:00:00;1007.4;1019;16.7;;;;16.4;32;6;207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1992-07-01 00:00:00;1006.2;1017.5;20.4;4.6;25.7;15.1;16.6;32;6;;31;31;31;31;31;0;14;6;1;0;;;2;1;0;;;;;;17;1;0;;;;26.3;1992-07-20 00:00:00;16.9;1992-07-05 00:00:00;35;1992-07-30 00:00:00;11.4;1992-07-28 00:00:00;11.1;1992-07-03 00:00:00;23;1992-07-21 00:00:00;1;0;6;18
07190;1992-07-01 00:00:00;999.2;1017.3;20.6;;;;17.3;81;11;204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07207;1992-07-01 00:00:00;1014.2;1019;17.8;2.3;20.9;15;18;25;5;256;14;30;31;30;31;31;1;0;;;;;2;1;0;;;;;;20;0;0;0;0;2;20.6;1992-07-30 00:00:00;15.5;1992-07-05 00:00:00;25.5;1992-07-28 00:00:00;12.6;1992-07-26 00:00:00;10.6;1992-07-20 00:00:00;19;1992-07-03 00:00:00;1;0;6;18
07222;1992-07-01 00:00:00;1014.7;1018.1;19;;;;17.1;29;7;196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
