NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1996-08-01 00:00:00;1006.7;1015.8;17;4;21.8;12.9;14.1;84;9;202;24;31;31;31;31;31;7;0;;;;;5;3;0;;;;;;20;0;0;0;2;3;22.2;1996-08-19 00:00:00;13.6;1996-08-31 00:00:00;28.7;1996-08-19 00:00:00;9.1;1996-08-08 00:00:00;32.2;1996-08-29 00:00:00;18;1996-08-23 00:00:00;3;0;6;18
07015;1996-08-01 00:00:00;1009.2;1015.2;17.4;4.2;22.5;13;14.5;116;11;185;25;31;31;31;31;31;9;1;;;;;6;4;0;;;;;;20;1;0;0;1;3;22.4;1996-08-19 00:00:00;12.1;1996-08-31 00:00:00;30.6;1996-08-20 00:00:00;7.7;1996-08-08 00:00:00;44;1996-08-29 00:00:00;27;1996-08-29 00:00:00;5;0;6;18
07020;1996-08-01 00:00:00;1014.2;1015.8;17.2;2.2;20.4;14.9;15.9;72;8;;25;31;31;30;31;-1;2;0;;;;;3;2;0;;;;;;25;3;0;0;2;2;22.6;1996-08-18 00:00:00;15.7;1996-08-11 00:00:00;28.4;1996-08-18 00:00:00;11.9;1996-08-08 00:00:00;31.8;1996-08-22 00:00:00;21;1996-08-23 00:00:00;;;6;18
07027;1996-08-01 00:00:00;1008;1016;17.4;4.1;22.6;12.7;14.2;30;7;213;24;31;31;31;31;31;8;0;;;;;2;1;0;;;;;;24;0;0;;;;21.6;1996-08-19 00:00:00;14.3;1996-08-27 00:00:00;29.8;1996-08-18 00:00:00;7.5;1996-08-08 00:00:00;14;1996-08-11 00:00:00;19;1996-08-24 00:00:00;;;6;18
07037;1996-08-01 00:00:00;997.9;1015.7;17.1;4.2;22.4;12.5;13.9;40;8;176;20;31;31;31;31;31;8;0;;;;;1;1;0;;;;;;15;0;0;0;0;4;22.4;1996-08-19 00:00:00;13.4;1996-08-28 00:00:00;29;1996-08-19 00:00:00;6.7;1996-08-28 00:00:00;16.8;1996-08-10 00:00:00;17;1996-08-23 00:00:00;2;0;6;18
07110;1996-08-01 00:00:00;1005;1016.7;16.2;3.2;20.3;12.8;14.6;81;10;201;27;31;31;31;31;31;4;0;;;;;6;3;0;;;;;;19;0;0;0;2;5;21;1996-08-17 00:00:00;13.8;1996-08-31 00:00:00;27.2;1996-08-17 00:00:00;9.3;1996-08-15 00:00:00;17.2;1996-08-09 00:00:00;19;1996-08-23 00:00:00;;;6;18
07149;1996-08-01 00:00:00;1005.3;1015.8;18.7;4;24;14.1;13.9;76;10;;27;31;31;31;31;0;14;1;;;;;3;2;0;;;;;;18;0;0;;;;23.2;1996-08-19 00:00:00;14.1;1996-08-29 00:00:00;30.3;1996-08-19 00:00:00;10.2;1996-08-07 00:00:00;27.4;1996-08-10 00:00:00;17;1996-08-05 00:00:00;5;0;6;18
07190;1996-08-01 00:00:00;997.9;1015.9;18.6;4.3;24.5;13.7;15.8;40;8;193;23;31;31;31;31;31;14;1;;;;;3;1;0;;;;;;11;0;0;0;0;2;22.6;1996-08-01 00:00:00;15.4;1996-08-13 00:00:00;30.9;1996-08-01 00:00:00;9.8;1996-08-08 00:00:00;11;1996-08-10 00:00:00;16;1996-08-29 00:00:00;8;0;6;18
07207;1996-08-01 00:00:00;1012.3;1017.4;17.7;2.5;20.9;14.7;15.8;33;7;;25;31;31;31;31;0;3;0;;;;;3;;;;;;;;24;2;0;;;;21.1;1996-08-18 00:00:00;15.7;1996-08-30 00:00:00;27;1996-08-04 00:00:00;10.7;1996-08-03 00:00:00;7.8;1996-08-23 00:00:00;23;1996-08-23 00:00:00;1;0;6;18
07222;1996-08-01 00:00:00;1013.6;1016.7;18.7;4.6;24.7;13.3;14.4;28;5;246;23;31;31;31;31;31;13;3;;;;;2;1;0;;;;;;19;0;0;;;;24.6;1996-08-18 00:00:00;14.6;1996-08-28 00:00:00;31.9;1996-08-19 00:00:00;8.6;1996-08-07 00:00:00;10.8;1996-08-23 00:00:00;19;1996-08-23 00:00:00;1;0;6;18
07240;1996-08-01 00:00:00;1003.2;1016.2;18.4;4.9;24.9;12.4;13.2;23;5;232;22;31;31;31;31;31;13;2;;;;;2;;;;;;;;19;0;0;0;0;2;23.8;1996-08-19 00:00:00;13.7;1996-08-29 00:00:00;32.1;1996-08-19 00:00:00;7.1;1996-08-31 00:00:00;9.6;1996-08-10 00:00:00;16;1996-08-23 00:00:00;1;0;6;18
07255;1996-08-01 00:00:00;997;1016.4;18.4;4.6;24.1;13.1;14.3;48;12;193;28;31;31;31;31;31;11;2;;;;;2;2;0;;;;;;15;1;0;0;0;1;23.3;1996-08-19 00:00:00;13.2;1996-08-28 00:00:00;31.4;1996-08-19 00:00:00;8;1996-08-08 00:00:00;11;1996-08-21 00:00:00;20;1996-08-11 00:00:00;3;0;6;18
07280;1996-08-01 00:00:00;989.6;1016;18.4;4.4;24.1;13.5;15.2;77;11;188;26;31;31;31;31;31;14;2;;;;;2;1;0;;;;;;21;0;0;1;1;7;23.5;1996-08-01 00:00:00;13.6;1996-08-28 00:00:00;31.2;1996-08-01 00:00:00;9.4;1996-08-28 00:00:00;38.6;1996-08-22 00:00:00;17;1996-08-11 00:00:00;7;1;6;18
07299;1996-08-01 00:00:00;984.7;1016.2;18.1;4.3;23.8;13.5;15.6;70;14;189;27;31;31;31;31;31;12;2;;;;;3;2;0;;;;;;12;0;0;0;0;2;22.9;1996-08-01 00:00:00;13.4;1996-08-29 00:00:00;30.3;1996-08-01 00:00:00;7.1;1996-08-29 00:00:00;18.4;1996-08-10 00:00:00;17;1996-08-06 00:00:00;8;0;6;18
07314;1996-08-01 00:00:00;1014.5;1017.4;19.1;2.1;21.9;17;17.3;22;5;;23;31;31;31;31;0;4;0;;;;;1;1;0;;;;;;23;1;0;0;0;1;22.9;1996-08-18 00:00:00;17.1;1996-08-07 00:00:00;29;1996-08-18 00:00:00;14.7;1996-08-08 00:00:00;10.6;1996-08-10 00:00:00;22;1996-08-23 00:00:00;2;0;6;18
07335;1996-08-01 00:00:00;1002.4;1016.7;18;5;24.3;11.4;13.9;45;7;238;14;31;31;31;31;31;11;1;;;;;3;1;0;;;;;;18;0;0;0;0;1;22.8;1996-08-19 00:00:00;13.7;1996-08-29 00:00:00;31.9;1996-08-19 00:00:00;6.2;1996-08-08 00:00:00;19.4;1996-08-10 00:00:00;17;1996-08-11 00:00:00;1;0;6;18
07434;1996-08-01 00:00:00;969.9;1016.5;17.5;3.9;22;13.5;13.8;87;9;213;21;31;31;31;31;31;9;0;;;;;7;4;0;;;;;;12;0;0;0;0;6;22.6;1996-08-18 00:00:00;13.5;1996-08-28 00:00:00;28.4;1996-08-19 00:00:00;7.9;1996-08-31 00:00:00;17.6;1996-08-06 00:00:00;14;1996-08-11 00:00:00;3;0;6;18
07460;1996-08-01 00:00:00;978.1;1016.2;18.4;4.4;24.2;12.9;14.3;36;7;187;26;31;31;31;31;31;13;2;;;;;3;1;0;;;;;;11;0;0;0;0;1;22.7;1996-08-19 00:00:00;14.3;1996-08-30 00:00:00;32;1996-08-19 00:00:00;8.2;1996-08-31 00:00:00;10.8;1996-08-20 00:00:00;16;1996-08-11 00:00:00;5;0;6;18
07471;1996-08-01 00:00:00;922.1;;14.7;4.8;21.2;8.9;13.3;79;10;170;2;31;31;31;31;31;4;1;;;;;5;3;0;;;;;;18;0;0;0;0;2;20.4;1996-08-01 00:00:00;9.8;1996-08-30 00:00:00;30.2;1996-08-01 00:00:00;2.9;1996-08-29 00:00:00;19.4;1996-08-10 00:00:00;18;1996-08-02 00:00:00;7;0;6;18
07481;1996-08-01 00:00:00;988.2;1016;19.3;4.2;24.6;14.9;16;58;8;206;24;31;31;31;31;31;15;3;;;;;2;2;0;;;;;;14;0;0;0;0;1;24;1996-08-19 00:00:00;14.9;1996-08-30 00:00:00;31.8;1996-08-01 00:00:00;9.6;1996-08-30 00:00:00;24.4;1996-08-21 00:00:00;18;1996-08-21 00:00:00;5;0;6;18
07510;1996-08-01 00:00:00;1009.8;1017.2;19.8;4.4;25.3;14.8;16;138;13;209;24;31;31;31;31;31;14;4;;;;;8;3;0;;;;;;15;0;0;;;;24.4;1996-08-18 00:00:00;15.9;1996-08-30 00:00:00;32.6;1996-08-18 00:00:00;9.8;1996-08-31 00:00:00;38.2;1996-08-19 00:00:00;16;1996-08-11 00:00:00;5;0;6;18
07535;1996-08-01 00:00:00;986.2;1017;18.3;4.9;25.2;13.1;16.3;82;10;206;24;31;31;31;31;31;13;4;;;;;5;3;0;;;;;;5;0;0;0;0;6;23.3;1996-08-19 00:00:00;13.5;1996-08-29 00:00:00;32.7;1996-08-19 00:00:00;6.8;1996-08-31 00:00:00;19.4;1996-08-02 00:00:00;10;1996-08-10 00:00:00;3;0;6;18
07560;1996-08-01 00:00:00;846.1;;11.3;3.6;14.6;8.8;11.3;83;13;;26;31;31;31;31;0;;;;;;;5;3;0;;;;;;26;11;0;4;16;19;16.6;1996-08-01 00:00:00;5.5;1996-08-28 00:00:00;19.7;1996-08-18 00:00:00;3.4;1996-08-28 00:00:00;26.2;1996-08-08 00:00:00;27;1996-08-31 00:00:00;8;0;6;18
07577;1996-08-01 00:00:00;1006.9;1015.4;20.8;4.3;26.6;15.5;16.7;64;10;267;26;31;31;31;31;31;21;7;;;;;5;3;0;;;;;;24;0;0;;;;24.8;1996-08-01 00:00:00;16.4;1996-08-27 00:00:00;33;1996-08-01 00:00:00;8.9;1996-08-29 00:00:00;13.2;1996-08-10 00:00:00;19;1996-08-31 00:00:00;5;0;6;18
07591;1996-08-01 00:00:00;916.6;;17.1;5;23.6;11.4;13.4;93;11;253;24;31;31;24;31;31;14;0;;;;;6;5;0;;;;;;24;0;0;;;;22.1;1996-08-01 00:00:00;12.7;1996-08-29 00:00:00;29;1996-08-02 00:00:00;5.3;1996-08-29 00:00:00;24.8;1996-08-07 00:00:00;17;1996-08-10 00:00:00;7;1;6;18
07607;1996-08-01 00:00:00;1010;1017.1;19.3;4.4;24.7;14.3;17.2;110;16;179;19;31;31;31;31;31;13;4;;;;;10;4;0;;;;;;9;0;0;0;1;5;22.8;1996-08-09 00:00:00;15;1996-08-30 00:00:00;31.8;1996-08-18 00:00:00;8.3;1996-08-30 00:00:00;16.6;1996-08-04 00:00:00;15;1996-08-04 00:00:00;5;0;6;18
07621;1996-08-01 00:00:00;974.4;1016.9;18.2;3.6;22.6;14.4;17.3;125;11;179;20;31;31;31;31;31;9;0;;;;;6;3;0;;;;;;9;1;0;0;0;1;22.4;1996-08-09 00:00:00;14.5;1996-08-28 00:00:00;29.1;1996-08-09 00:00:00;9.8;1996-08-28 00:00:00;37.8;1996-08-04 00:00:00;21;1996-08-04 00:00:00;6;0;6;18
07627;1996-08-01 00:00:00;969.6;1017.2;18.2;4;23.1;13.9;16.6;76;10;167;24;31;31;31;31;31;9;0;;;;;5;3;0;;;;;;11;1;0;;;;23.1;1996-08-09 00:00:00;14.6;1996-08-27 00:00:00;29.6;1996-08-09 00:00:00;10.2;1996-08-25 00:00:00;23;1996-08-21 00:00:00;23;1996-08-04 00:00:00;4;0;6;18
07630;1996-08-01 00:00:00;999.5;1017.5;20.4;4.2;25.7;15.7;16.8;55;8;191;25;31;31;31;31;31;17;5;;;;;4;2;0;;;;;;18;1;0;;;;24.5;1996-08-09 00:00:00;16.2;1996-08-30 00:00:00;32.4;1996-08-09 00:00:00;11.8;1996-08-29 00:00:00;15.2;1996-08-27 00:00:00;21;1996-08-04 00:00:00;5;0;6;18
07643;1996-08-01 00:00:00;1014.6;1015.4;22.5;3.6;27.9;17.7;17.8;63;9;275;24;31;31;31;31;31;29;4;;;;;4;2;0;;;;;;16;1;0;;;;25.1;1996-08-03 00:00:00;18.5;1996-08-27 00:00:00;31.9;1996-08-03 00:00:00;13.1;1996-08-31 00:00:00;22.4;1996-08-04 00:00:00;20;1996-08-10 00:00:00;6;0;6;18
07650;1996-08-01 00:00:00;1010.3;1014.6;22.7;3.8;28;17.9;17.2;85;9;309;27;31;31;31;31;31;28;10;;;;;6;1;0;;;;;;28;0;0;;;;25.6;1996-08-01 00:00:00;19.5;1996-08-30 00:00:00;31.7;1996-08-01 00:00:00;13.3;1996-08-31 00:00:00;48;1996-08-26 00:00:00;19;1996-08-26 00:00:00;7;0;6;18
07661;1996-08-01 00:00:00;999.2;1014.8;22.7;2.8;27;18.7;18.3;0;0;;19;30;31;30;31;0;27;0;;;;;;;;;;;;;15;4;0;;;;24.6;1996-08-03 00:00:00;18.7;1996-08-29 00:00:00;29.1;1996-08-03 00:00:00;15.3;1996-08-30 00:00:00;;;26;1996-08-13 00:00:00;;;6;18
07690;1996-08-01 00:00:00;1010.7;1013.7;22.9;2.8;26.7;19.2;20.4;15;4;326;21;31;31;31;31;31;28;0;;;;;1;;;;;;;;12;1;0;;;;24.8;1996-08-01 00:00:00;20.7;1996-08-22 00:00:00;29.4;1996-08-12 00:00:00;15.1;1996-08-29 00:00:00;6.8;1996-08-21 00:00:00;22;1996-08-21 00:00:00;7;0;6;18
