NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2006-03-01 00:00:00;1001.5;1011;5;5.1;8.6;2.3;7.4;63;15;124;30;31;31;31;31;31;;;;;0;15;4;1;0;;2;2;;;26;5;0;0;0;1;14.4;2006-03-26 00:00:00;-0.5;2006-03-12 00:00:00;17.3;2006-03-27 00:00:00;-4;2006-03-13 00:00:00;12.8;2006-03-08 00:00:00;24;2006-03-10 00:00:00;2;0;6;18
07015;2006-03-01 00:00:00;1005;1010.8;4.9;5.2;8.7;2;7;52;11;123;28;31;31;31;31;31;;;;;0;15;5;1;0;;1;0;;;26;2;0;0;0;1;14.6;2006-03-26 00:00:00;-1.2;2006-03-12 00:00:00;17.5;2006-03-27 00:00:00;-5;2006-03-13 00:00:00;10.8;2006-03-30 00:00:00;22;2006-03-27 00:00:00;1;0;6;18
07020;2006-03-01 00:00:00;1009;1010.9;6.9;2.8;8.8;5.3;8.2;57;9;;25;31;31;30;31;0;;;;;;;4;1;0;;;;;;31;12;0;;;;12.5;2006-03-26 00:00:00;3.2;2006-03-03 00:00:00;16.1;2006-03-26 00:00:00;0.1;2006-03-13 00:00:00;14;2006-03-25 00:00:00;28;2006-03-29 00:00:00;;;6;18
07027;2006-03-01 00:00:00;1002.6;1010.9;6.1;4.8;9.5;3.3;7.9;52;12;121;31;31;31;31;31;31;;;;;0;7;5;;;;2;1;;;25;3;0;0;0;1;14.9;2006-03-26 00:00:00;0.5;2006-03-13 00:00:00;17;2006-03-26 00:00:00;-4.1;2006-03-14 00:00:00;9.8;2006-03-07 00:00:00;24;2006-03-27 00:00:00;;;6;18
07037;2006-03-01 00:00:00;992.6;1011.2;4.9;5;8.5;1.7;7.1;95;13;109;30;31;31;31;31;31;;;;;0;12;9;2;0;;3;3;;;24;2;0;0;0;6;13.8;2006-03-26 00:00:00;-1.5;2006-03-01 00:00:00;16.7;2006-03-27 00:00:00;-5.7;2006-03-01 00:00:00;19.4;2006-03-07 00:00:00;22;2006-03-27 00:00:00;0;1;6;18
07110;2006-03-01 00:00:00;998.4;1009.9;7.2;3.5;10.3;4.8;8.9;216;22;80;31;31;31;31;31;31;;;;;0;3;11;8;0;;;;;;27;3;0;0;0;6;12.4;2006-03-26 00:00:00;2;2006-03-02 00:00:00;16.5;2006-03-20 00:00:00;-1.3;2006-03-02 00:00:00;29.8;2006-03-25 00:00:00;23;2006-03-08 00:00:00;3;1;6;18
07117;2006-03-01 00:00:00;1002.7;1009.8;7.6;3.6;10.2;5.5;8.8;125;19;;31;31;31;31;31;0;;;;;;;10;6;0;;;;;;31;10;0;0;0;2;14.2;2006-03-26 00:00:00;2.9;2006-03-02 00:00:00;18.5;2006-03-26 00:00:00;0.9;2006-03-02 00:00:00;16.2;2006-03-02 00:00:00;27;2006-03-10 00:00:00;0;1;6;18
07130;2006-03-01 00:00:00;1005.8;1011.1;7.1;4.8;11.6;3.6;8.3;85;16;123;31;31;31;31;31;31;;;;;0;7;6;2;0;;1;1;;;25;3;0;0;0;2;15.1;2006-03-26 00:00:00;1.2;2006-03-01 00:00:00;19.7;2006-03-26 00:00:00;-3.6;2006-03-02 00:00:00;19;2006-03-25 00:00:00;23;2006-03-09 00:00:00;;;6;18
07139;2006-03-01 00:00:00;993.7;1011.3;5.6;4.8;9.7;2.3;7.6;91;13;106;31;31;31;31;31;31;;;;;0;12;7;4;0;;3;1;;;24;3;0;;;;14.3;2006-03-26 00:00:00;0;2006-03-01 00:00:00;17.5;2006-03-26 00:00:00;-4.2;2006-03-14 00:00:00;20.2;2006-03-25 00:00:00;21;2006-03-09 00:00:00;2;2;6;18
07149;2006-03-01 00:00:00;1000.5;1011.5;5.9;5.1;10;2.4;7.5;80;15;;27;31;31;31;31;0;;;;;0;12;8;1;0;;;;;;25;1;0;;;;15.6;2006-03-26 00:00:00;-0.4;2006-03-12 00:00:00;19.2;2006-03-26 00:00:00;-4.8;2006-03-01 00:00:00;12.2;2006-03-25 00:00:00;20;2006-03-03 00:00:00;4;0;6;18
