NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1995-05-01 00:00:00;1007.8;1017.1;12.7;4.9;17.5;8;10.7;27;5;238;6;31;31;31;31;31;2;0;;;;;3;;;;;;;;19;1;0;1;1;3;19.7;1995-05-05 00:00:00;6.7;1995-05-13 00:00:00;26.5;1995-05-05 00:00:00;2.1;1995-05-15 00:00:00;7.4;1995-05-12 00:00:00;24;1995-05-17 00:00:00;1;0;6;18
07015;1995-05-01 00:00:00;;;13.4;;;;;25;7;223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07020;1995-05-01 00:00:00;1015.3;1016.9;12.5;2.6;15.7;10;11.8;35;5;;14;29;31;29;31;0;;;;;;;2;2;0;;;;;;20;4;0;;;;15.9;1995-05-07 00:00:00;8.3;1995-05-12 00:00:00;22.7;1995-05-07 00:00:00;5.8;1995-05-15 00:00:00;18.6;1995-05-16 00:00:00;24;1995-05-17 00:00:00;;;6;18
07027;1995-05-01 00:00:00;1009;1017;12.9;4.7;17.6;8.3;11;64;7;235;20;31;31;31;31;31;3;0;;;;;4;3;0;;;;;;15;1;0;;;;18.9;1995-05-06 00:00:00;7.5;1995-05-12 00:00:00;25.7;;;;19.2;1995-05-25 00:00:00;22;1995-05-17 00:00:00;1;1;6;18
07037;1995-05-01 00:00:00;998.4;1016.7;12.6;5.2;17.7;7.6;10.2;54;8;208;31;31;31;31;31;31;3;0;;;;;3;2;0;;;;;;15;1;0;1;1;2;20.1;1995-05-05 00:00:00;5.8;1995-05-13 00:00:00;27;1995-05-05 00:00:00;1.2;1995-05-15 00:00:00;16.6;1995-05-12 00:00:00;23;1995-05-17 00:00:00;;;6;18
07110;1995-05-01 00:00:00;;1016.9;13.1;;17.2;9.3;11.3;68;10;212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1995-05-01 00:00:00;1005.7;1016.5;14.5;5.1;19.7;9.2;11.1;74;7;;31;31;31;31;31;0;4;0;;;;;6;3;0;;;;;;17;1;0;0;0;1;20.7;1995-05-05 00:00:00;6.9;1995-05-13 00:00:00;27.6;1995-05-04 00:00:00;2;1995-05-14 00:00:00;21.8;1995-05-12 00:00:00;21;1995-05-17 00:00:00;2;0;6;18
07190;1995-05-01 00:00:00;997.7;1015.9;14.3;5.3;19.8;8.8;11.2;126;12;219;24;30;31;30;31;31;6;0;;;;;9;4;0;;;;;;11;0;0;0;0;2;20.3;1995-05-25 00:00:00;8.1;1995-05-14 00:00:00;27.5;;;;25.8;1995-05-13 00:00:00;19;1995-05-18 00:00:00;4;0;6;18
07207;1995-05-01 00:00:00;1012.1;1017.2;14.1;3.5;17.1;10.9;12.4;34;6;289;4;31;31;16;31;31;1;0;;;;;3;;;;;;;;25;1;0;;;;20.8;1995-05-06 00:00:00;9.1;1995-05-14 00:00:00;26.1;1995-05-06 00:00:00;3.8;1995-05-14 00:00:00;9.6;1995-05-16 00:00:00;23;1995-05-12 00:00:00;;;6;18
07222;1995-05-01 00:00:00;1013.6;1016.7;14.6;5.2;19.7;9.3;11.7;61;11;229;31;31;31;31;31;31;5;0;;;;;5;2;0;;;;;;22;0;0;;;;21.5;1995-05-06 00:00:00;8;1995-05-13 00:00:00;29.1;;;;16;1995-05-16 00:00:00;17;1995-05-17 00:00:00;0;1;6;18
07240;1995-05-01 00:00:00;1003.6;1016.9;13.9;5.3;19.4;8.3;11.2;50;6;230;31;31;31;31;31;31;4;0;;;;;3;3;0;;;;;;18;0;0;;;;20;1995-05-05 00:00:00;6.6;1995-05-13 00:00:00;27.7;1995-05-05 00:00:00;0.2;1995-05-14 00:00:00;18.6;1995-05-17 00:00:00;18;1995-05-17 00:00:00;2;0;6;18
07255;1995-05-01 00:00:00;996.6;1016.3;14.5;5.4;19.9;8.7;11.1;68;9;221;30;31;31;31;31;31;7;0;;;;;4;2;0;;;;;;15;1;0;0;0;1;20.4;1995-05-28 00:00:00;5.2;1995-05-13 00:00:00;29.5;;;;19.4;1995-05-16 00:00:00;20;1995-05-17 00:00:00;2;0;6;18
07280;1995-05-01 00:00:00;;1015.9;13.7;;19.2;8.5;11.2;132;12;229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07299;1995-05-01 00:00:00;983.9;1015.9;14;5.4;19.5;8.6;10.9;184;11;197;25;31;31;31;31;31;6;0;;;;;8;7;0;;;;;;11;0;0;0;0;1;19.8;1995-05-28 00:00:00;6.9;1995-05-14 00:00:00;28.2;1995-05-06 00:00:00;1;1995-05-15 00:00:00;42.2;1995-05-31 00:00:00;19;1995-05-08 00:00:00;2;0;6;18
07314;1995-05-01 00:00:00;1013.8;1017.2;15;3.1;17.9;12.4;13.1;24;4;;8;28;31;28;31;0;;;;;;;1;;;;;;;;19;1;0;;;;19.6;1995-05-07 00:00:00;10.3;1995-05-15 00:00:00;24.8;1995-05-05 00:00:00;7.5;1995-05-14 00:00:00;8.4;1995-05-17 00:00:00;23;1995-05-12 00:00:00;;;6;18
07335;1995-05-01 00:00:00;1002.2;1016.5;13.9;5.6;19.9;7.6;10.9;47;7;234;22;31;31;31;31;31;7;0;;;0;1;4;1;0;;;;;;18;1;0;0;0;1;18.7;1995-05-05 00:00:00;7.2;1995-05-13 00:00:00;27.4;1995-05-05 00:00:00;-1.2;1995-05-14 00:00:00;11.6;1995-05-24 00:00:00;20;1995-05-13 00:00:00;;;6;18
07434;1995-05-01 00:00:00;969.5;1016.6;13.8;5.2;18.8;9.3;10.5;61;12;234;31;31;31;31;31;31;6;0;;;;;5;1;0;;;;;;12;0;0;0;0;4;20;1995-05-05 00:00:00;4.9;1995-05-13 00:00:00;27;;;;11;1995-05-17 00:00:00;18;1995-05-16 00:00:00;4;1;6;18
07460;1995-05-01 00:00:00;977.2;1015.9;14.3;5.8;20.6;8.3;10.2;76;9;212;22;31;31;31;31;31;8;1;;;0;1;5;3;0;;;;;;20;1;0;0;1;1;22;1995-05-28 00:00:00;6.2;1995-05-13 00:00:00;30.8;1995-05-28 00:00:00;-1;1995-05-15 00:00:00;24.8;1995-05-28 00:00:00;20;1995-05-17 00:00:00;6;0;6;18
07471;1995-05-01 00:00:00;920.7;;10.4;5.6;16.8;4.4;9;50;9;208;8;31;31;31;31;31;1;0;;;0;2;3;2;0;;1;0;;;22;0;0;0;0;2;16.5;1995-05-28 00:00:00;2.4;1995-05-13 00:00:00;25.2;1995-05-28 00:00:00;-4.4;1995-05-15 00:00:00;16;1995-05-12 00:00:00;19;1995-05-13 00:00:00;3;0;6;18
07481;1995-05-01 00:00:00;987.6;1015.8;15.1;5.3;20.2;10.1;10.6;127;11;234;22;31;31;31;31;31;8;0;;;;;8;6;0;;;;;;21;3;0;0;0;2;21.2;1995-05-28 00:00:00;6;1995-05-13 00:00:00;28.4;1995-05-28 00:00:00;2.2;1995-05-15 00:00:00;26;1995-05-13 00:00:00;21;1995-05-13 00:00:00;4;0;6;18
07510;1995-05-01 00:00:00;1009.1;1016.4;16.3;5.2;22.1;10.6;12;79;11;247;21;31;31;31;31;31;10;1;;;;;5;2;0;;;;;;18;1;0;;;;21.6;1995-05-07 00:00:00;9.2;1995-05-13 00:00:00;30.1;;;;27.4;1995-05-24 00:00:00;20;1995-05-16 00:00:00;1;0;6;18
07535;1995-05-01 00:00:00;985.3;1016.4;15.2;5.8;21.7;9.2;10.6;47;10;242;23;31;31;31;31;31;9;1;;;0;1;3;2;0;;;;;;15;0;0;0;0;1;22.7;1995-05-28 00:00:00;7.2;1995-05-13 00:00:00;32;1995-05-28 00:00:00;-0.3;1995-05-14 00:00:00;11.4;1995-05-25 00:00:00;18;1995-05-17 00:00:00;1;0;6;18
07560;1995-05-01 00:00:00;843.1;;6.7;4.4;9.8;4.2;6.9;121;8;;12;31;31;31;31;0;;;;;1;6;5;3;1;;2;0;;;30;18;5;2;11;11;13.2;1995-05-28 00:00:00;-2.7;1995-05-13 00:00:00;17.2;1995-05-08 00:00:00;-4;1995-05-14 00:00:00;60.6;1995-05-11 00:00:00;40;1995-05-13 00:00:00;;;6;18
07577;1995-05-01 00:00:00;1007.2;1015.7;15.7;5.1;21.8;9.7;11.1;28;7;261;17;31;31;31;31;31;10;0;;;;;2;;;;;;;;22;2;0;;;;19.2;1995-05-28 00:00:00;8.9;1995-05-13 00:00:00;28.2;1995-05-08 00:00:00;5.6;1995-05-15 00:00:00;6.6;1995-05-26 00:00:00;24;1995-05-18 00:00:00;2;0;6;18
