NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1995-02-01 00:00:00;1002.8;1012.7;7.6;2.7;10.1;5.2;8.9;126;21;65;14;28;28;28;28;28;;;;;0;1;8;4;0;;;;;;27;7;1;0;0;1;11;1995-02-01 00:00:00;3.2;1995-02-26 00:00:00;13.5;1995-02-15 00:00:00;-0.4;1995-02-27 00:00:00;18.4;1995-02-16 00:00:00;31;1995-02-15 00:00:00;3;3;6;18
07015;1995-02-01 00:00:00;;;7.2;;;;;77;18;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07020;1995-02-01 00:00:00;1008.2;1011.8;9.5;1.2;10.9;7.8;10.3;137;18;;13;28;28;28;28;0;;;;;;;13;5;0;;;;;;28;19;1;0;1;2;10.7;1995-02-01 00:00:00;7.4;1995-02-26 00:00:00;12.3;1995-02-28 00:00:00;2.2;1995-02-23 00:00:00;16.2;1995-02-13 00:00:00;34;1995-02-16 00:00:00;1;2;6;18
07027;1995-02-01 00:00:00;1005.4;1013.5;8.7;2.5;11.5;6.3;9.5;79;15;68;24;28;28;28;28;28;;;;;;;6;1;0;;;;;;27;10;0;0;0;2;11.7;1995-02-01 00:00:00;5;1995-02-23 00:00:00;14.5;;;;10.2;1995-02-16 00:00:00;26;1995-02-13 00:00:00;2;1;6;18
07037;1995-02-01 00:00:00;995.5;1014;7.4;2.7;10.2;4.9;8.8;127;21;61;28;28;28;28;28;28;;;;;0;1;11;3;0;;;;;;27;8;0;0;0;3;10.4;1995-02-15 00:00:00;2.8;1995-02-26 00:00:00;14.3;1995-02-15 00:00:00;-1.7;1995-02-27 00:00:00;17;1995-02-24 00:00:00;27;1995-02-18 00:00:00;2;2;6;18
07110;1995-02-01 00:00:00;1002.2;1014.1;9.1;;11.1;6.9;10.4;211;23;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1995-02-01 00:00:00;1004.3;1015.3;8.2;2.6;11;5.6;9.2;72;16;;28;28;28;28;28;0;;;;;0;2;5;1;0;;;;;;24;5;0;0;0;1;12.3;1995-02-15 00:00:00;4.5;1995-02-22 00:00:00;15.5;1995-02-15 00:00:00;-1.1;1995-02-22 00:00:00;13.2;1995-02-01 00:00:00;25;1995-02-17 00:00:00;0;2;6;18
07190;1995-02-01 00:00:00;997.7;1016.4;6.6;;10.5;3.4;7.8;44;13;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07207;1995-02-01 00:00:00;1011.6;1016.7;10.3;1.7;11.7;8.4;10.7;109;19;68;10;27;28;28;28;28;;;;;;;11;1;0;;;;;;27;16;1;0;1;2;11.8;1995-02-15 00:00:00;6.3;1995-02-26 00:00:00;13.1;1995-02-01 00:00:00;3.3;1995-02-27 00:00:00;12.2;1995-02-11 00:00:00;32;1995-02-13 00:00:00;;;6;18
07222;1995-02-01 00:00:00;1013.9;1017.1;9.4;2.9;12.3;6.4;10.6;130;18;72;28;28;28;28;28;28;;;;;0;2;15;3;0;;;;;;23;3;0;0;0;3;12.4;1995-02-15 00:00:00;5;1995-02-22 00:00:00;14.8;;;;14;1995-02-11 00:00:00;22;1995-02-13 00:00:00;3;2;6;18
