NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2010-04-01 00:00:00;1010.3;1019.8;9.5;2.7;14.9;4.5;8.7;18;4;259;30;30;30;30;30;30;1;0;;;;;1;;;;;;;;19;1;0;0;0;5;16.9;2010-04-29 00:00:00;5.5;2010-04-01 00:00:00;25.6;2010-04-29 00:00:00;0.6;2010-04-22 00:00:00;6.4;2010-04-03 00:00:00;20;2010-04-03 00:00:00;1;1;6;18
07015;2010-04-01 00:00:00;1013.7;1019.4;10;2.9;15.8;4.8;8.3;26;4;231;30;30;30;30;30;30;1;0;;;;;3;1;0;;;;;;21;0;0;0;0;2;18.4;2010-04-29 00:00:00;5.4;2010-04-01 00:00:00;26.9;2010-04-29 00:00:00;1.3;2010-04-22 00:00:00;10.6;2010-04-03 00:00:00;17.6;2010-04-02 00:00:00;1;0;6;18
07020;2010-04-01 00:00:00;1019.1;1019.9;9.2;1.6;12.2;6.9;9.3;23;2;;30;30;30;30;30;0;;;;;;;2;1;0;;;;;;23;1;0;0;0;2;15.3;2010-04-28 00:00:00;7.7;2010-04-01 00:00:00;21.5;2010-04-28 00:00:00;3.1;2010-04-23 00:00:00;14;2010-04-03 00:00:00;25;2010-04-02 00:00:00;;;6;18
07027;2010-04-01 00:00:00;1011.5;1019.7;9.4;2.4;14.8;4.4;8.5;15;4;280;30;30;30;30;30;30;;;;;;;0;;;;;;;;18;0;0;0;0;2;15.7;2010-04-28 00:00:00;6.8;2010-04-01 00:00:00;24.8;2010-04-28 00:00:00;0.6;2010-04-09 00:00:00;4.9;2010-04-29 00:00:00;19.6;2010-04-03 00:00:00;2;1;6;18
07037;2010-04-01 00:00:00;1001;1019.5;9.9;2.8;16.2;4.2;8;21;3;245;30;30;30;30;30;30;1;0;;;;;2;1;0;;;;;;18;1;0;0;1;3;17.4;2010-04-29 00:00:00;6;2010-04-01 00:00:00;26.4;2010-04-29 00:00:00;0.7;2010-04-21 00:00:00;11.4;2010-04-03 00:00:00;21;2010-04-03 00:00:00;1;0;6;18
07110;2010-04-01 00:00:00;1007.7;1019.2;9.8;1.9;15;5.1;9.1;42;7;257;30;30;30;30;30;30;;;;;;;4;1;0;;;;;;24;2;0;0;1;5;15;2010-04-28 00:00:00;6.7;2010-04-01 00:00:00;21.5;2010-04-28 00:00:00;1.2;2010-04-09 00:00:00;12.6;2010-04-01 00:00:00;22.5;2010-04-02 00:00:00;0;1;6;18
07117;2010-04-01 00:00:00;1012.4;1019.5;9.7;2;13.3;7.1;9.6;30;4;;30;30;30;30;30;0;1;0;;;;;2;1;0;;;;;;21;1;0;0;2;4;15.6;2010-04-28 00:00:00;6.9;2010-04-03 00:00:00;25;2010-04-28 00:00:00;3.3;2010-04-19 00:00:00;18.2;2010-04-03 00:00:00;20.4;2010-04-02 00:00:00;;;6;18
07130;2010-04-01 00:00:00;1013.9;1019.2;11;2.3;17.6;4.8;8.8;15;4;273;30;30;30;30;30;30;1;0;;;;;1;;;;;;;;19;0;0;0;0;7;17.3;2010-04-28 00:00:00;7.2;2010-04-01 00:00:00;25.6;2010-04-28 00:00:00;1.4;2010-04-15 00:00:00;5.2;2010-04-02 00:00:00;19.7;2010-04-03 00:00:00;;;6;18
07139;2010-04-01 00:00:00;1001.8;1019.3;10;2.5;16.4;3.7;8.5;14;3;257;30;30;30;30;30;30;1;0;;;0;2;1;;;;;;;;17;1;0;0;0;1;15.8;2010-04-29 00:00:00;6.1;2010-04-01 00:00:00;25.3;2010-04-28 00:00:00;-1.2;2010-04-21 00:00:00;6;2010-04-03 00:00:00;20;2010-04-12 00:00:00;3;0;6;18
07149;2010-04-01 00:00:00;1008.2;1019.1;11.4;3;17.1;5.5;8.1;22;6;266;30;30;30;30;30;30;2;0;;;;;2;;;;;;;;20;0;0;;;;19.1;2010-04-29 00:00:00;7.1;2010-04-01 00:00:00;26.9;2010-04-29 00:00:00;0.1;2010-04-05 00:00:00;6.2;2010-04-02 00:00:00;17.9;2010-04-15 00:00:00;0;0;6;18
