NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
7005;01/02/2001 00:00;1008.7;1018.2;5.3;3.8;8.2;2.8;8;34;8;69;24;28;28;28;28;28;;;;;0;7;3;;;;1;0;;;22;3;0;0;1;3;11.5;06/02/2001 00:00;-0.9;25/02/2001 00:00;13.8;11/02/2001 00:00;-4.3;25/02/2001 00:00;7.2;07/02/2001 00:00;22;08/02/2001 00:00;;;6;18
7015;01/02/2001 00:00;1012.2;1017.8;5.3;3.9;8;2.8;7.8;45;10;63;25;28;28;28;28;28;;;;;0;8;3;;;;1;1;;;18;1;0;0;0;5;11.2;06/02/2001 00:00;-0.5;24/02/2001 00:00;13.7;15/02/2001 00:00;-4.5;25/02/2001 00:00;7;12/02/2001 00:00;21;08/02/2001 00:00;;;6;18
7020;01/02/2001 00:00;1016.2;1018.1;7.9;2.1;9.3;6.1;9;67;10;;19;27;28;27;28;0;;;;;;;6;3;0;;;;;;24;9;0;;;;11.6;11/02/2001 00:00;4.2;27/02/2001 00:00;13.2;11/02/2001 00:00;1.1;01/02/2001 00:00;16.6;07/02/2001 00:00;27;26/02/2001 00:00;;;6;18
7027;01/02/2001 00:00;1010.4;1018.7;6.1;3.6;8.9;3.7;8.3;61;12;51;17;28;28;28;28;28;;;;;0;5;4;2;0;;1;1;;;19;4;0;0;1;3;12.3;11/02/2001 00:00;0.9;25/02/2001 00:00;14.8;11/02/2001 00:00;-2;25/02/2001 00:00;15.6;08/02/2001 00:00;24;12/02/2001 00:00;;;6;18
7037;01/02/2001 00:00;1000;1018.7;4.9;3.9;8.1;2.1;7.8;62;12;69;25;28;28;28;28;28;;;;;1;10;3;2;0;;1;0;;;22;1;0;0;0;3;10.8;06/02/2001 00:00;-1.5;01/02/2001 00:00;13.7;11/02/2001 00:00;-5.8;25/02/2001 00:00;17.6;03/02/2001 00:00;22;08/02/2001 00:00;;;6;18
7110;01/02/2001 00:00;1007.3;1019.1;34;3.4;10.2;4;8.9;136;13;98;18;28;28;28;28;28;;;;;0;4;9;6;0;;;;;;20;4;0;0;0;4;12;11/02/2001 00:00;2.1;27/02/2001 00:00;13.5;11/02/2001 00:00;-1.8;19/02/2001 00:00;30.4;07/02/2001 00:00;23;05/02/2001 00:00;0;2;6;18
7117;01/02/2001 00:00;1011.2;1018.7;8.1;2.8;10.5;6.1;9.2;102;13;;6;28;28;28;28;0;;;;;;;7;4;0;;;;;;24;8;0;;;;13.3;11/02/2001 00:00;2.5;27/02/2001 00:00;15.6;11/02/2001 00:00;0;27/02/2001 00:00;25;08/02/2001 00:00;27;12/02/2001 00:00;0;2;6;18
7130;01/02/2001 00:00;1014;1019.3;6.7;3.8;10.2;3.6;8.5;48;9;82;19;28;28;28;28;28;;;;;0;6;4;1;0;;;;;;18;0;0;0;1;6;12.7;11/02/2001 00:00;1.4;19/02/2001 00:00;15.9;11/02/2001 00:00;-3.2;25/02/2001 00:00;13.2;05/02/2001 00:00;19;12/02/2001 00:00;;;6;18
7139;01/02/2001 00:00;1001.4;1019.2;5.3;3.8;8.7;2.7;8;68;11;70;19;28;28;28;28;28;;;;;0;10;4;2;0;;3;2;;;18;2;0;0;0;5;10.9;11/02/2001 00:00;-0.6;25/02/2001 00:00;14;11/02/2001 00:00;-4.8;25/02/2001 00:00;18.4;07/02/2001 00:00;20;08/02/2001 00:00;;;6;18
7149;01/02/2001 00:00;1007.8;1019;5.7;3.8;8.8;3.1;7.8;37;10;;20;28;28;28;28;0;;;;;0;9;3;;;;2;0;;;22;2;0;0;0;3;11.5;06/02/2001 00:00;0.1;01/02/2001 00:00;14.5;12/02/2001 00:00;-3;25/02/2001 00:00;6.8;03/02/2001 00:00;21;04/02/2001 00:00;;;6;18
